,token,count
744,respond,57
745,confirmed,57
746,vermont,57
747,lying,57
748,star,56
749,join,56
750,claiming,56
751,supporting,56
752,fired,56
753,employees,56
754,protection,55
755,agenda,55
756,photo,55
757,create,55
758,building,55
759,near,55
760,gonna,55
761,large,55
762,reaction,55
763,massachusetts,55
764,man,55
765,venezuela,54
766,love,54
767,humanitarian,54
768,native,54
769,daily,54
770,pushing,54
771,currently,54
772,jackson,54
773,negotiations,54
774,conservatives,54
775,front,54
776,anyone,54
777,college,54
778,daca,53
779,kevin,53
780,serious,53
781,mcconnell,53
782,holding,53
783,force,53
784,everyone,53
785,trillion,53
786,buzzfeed,53
787,stone,53
788,pointed,53
789,barrier,53
790,language,53
791,violence,53
792,spoke,53
793,single,53
794,directly,53
795,individual,53
796,involved,53
797,biggest,53
798,third,53
799,invited,52
800,jim,52
801,faces,52
802,panel,52
803,community,52
804,politicians,52
805,rate,52
806,allowed,52
807,hard,52
808,thought,52
809,chad,52
810,document,52
811,medicare,52
812,acting,52
813,takes,52
814,cnn,52
815,companies,52
816,offering,52
817,publicly,52
818,often,52
819,avoid,52
820,attention,51
821,killed,51
822,lost,51
823,longtime,51
824,citing,51
825,reference,51
826,opposed,51
827,either,51
828,massive,51
829,seek,51
830,mean,51
831,feel,51
832,sarah,51
833,six,51
834,investigations,51
835,los,50
836,congressman,50
837,asking,50
838,sources,50
839,seeking,50
840,backed,50
841,patrol,50
842,food,50
843,knew,50
844,praised,50
845,david,50
846,gas,50
847,increase,50
848,room,50
849,hundreds,50
850,jong,50
851,declined,50
852,september,50
853,records,50
854,separate,50
855,everything,49
856,james,49
857,development,49
858,urged,49
859,saturday,49
860,speaks,49
861,civil,49
862,saw,49
863,taxes,49
864,revealed,49
865,responsible,49
866,activist,49
867,lawmaker,49
868,considering,49
869,paul,49
870,reached,49
871,email,48
872,georgia,48
873,lindsey,48
874,interest,48
875,committed,48
876,age,48
877,cover,48
878,prominent,48
879,rise,48
880,maybe,48
881,apparently,48
882,level,48
883,sweeping,48
884,joint,48
885,street,48
886,ultimately,48
887,widely,48
888,newsom,47
889,shut,47
890,parents,47
891,venezuelan,47
892,ensure,47
893,simply,47
894,prior,47
895,series,47
896,authority,47
897,secret,47
898,child,47
899,threat,47
900,hit,47
901,discuss,47
902,student,47
903,reason,47
904,questioned,47
905,review,47
906,stay,47
907,nixon,46
908,mississippi,46
909,warned,46
910,december,46
911,legislative,46
912,mother,46
913,defeat,46
914,reach,46
915,deliver,46
916,giuliani,46
917,funds,46
918,ended,46
919,michigan,46
920,approved,46
921,demand,46
922,approve,46
923,reopen,46
924,directed,46
925,kirsten,46
926,understand,46
927,proposals,46
928,weekend,46
929,allegedly,46
930,significant,46
931,entire,46
932,higher,46
933,spokesperson,46
934,scheduled,46
935,kelly,45
936,blasio,45
937,count,45
938,urban,45
939,crimes,45
940,represent,45
941,problem,45
942,largely,45
943,attack,45
944,mexico,45
945,analysis,45
946,apparent,45
947,compared,45
948,el,45
949,turn,45
950,related,45
951,previous,45
952,together,45
953,oppose,45
954,tower,45
955,advance,45
956,decided,45
957,provided,45
958,deputy,45
959,sessions,44
960,situation,44
961,created,44
962,prepared,44
963,paying,44
964,impeach,44
965,appear,44
966,old,44
967,troops,44
968,jared,44
969,alex,44
970,helped,44
971,started,44
972,longer,44
973,cases,44
974,coverage,44
975,corporate,44
976,declaration,44
977,begin,44
978,continued,44
979,crowd,43
980,refused,43
981,scott,43
982,relationship,43
983,born,43
984,critical,43
985,oil,43
986,progress,43
987,obtained,43
988,emails,43
989,attended,43
990,hear,43
991,live,43
992,regulations,43
993,rao,43
994,talks,43
995,fully,43
996,written,43
997,attacks,43
998,education,43
999,racist,43
1000,closed,43
1001,sentenced,43
1002,approximately,42
1003,universal,42
1004,guarantee,42
1005,quickly,42
1006,roberts,42
1007,faced,42
1008,aide,42
1009,head,42
1010,representatives,42
1011,exactly,42
1012,standing,42
1013,parties,42
1014,filed,42
1015,carolina,42
1016,correspondent,42
1017,view,42
1018,indicated,42
1019,confirmation,42
1020,amy,42
1021,believes,42
1022,independent,42
1023,launched,42
1024,file,42
1025,charges,42
1026,jersey,42
1027,prevent,41
1028,renewable,41
1029,backing,41
1030,floor,41
1031,required,41
1032,insisted,41
1033,crime,41
1034,heard,41
1035,citizens,41
1036,gets,41
1037,living,41
1038,noting,41
1039,break,41
1040,county,41
1041,especially,41
1042,pretty,41
1043,tried,41
1044,colleagues,41
1045,obamacare,41
1046,block,41
1047,richard,41
1048,convicted,41
1049,decades,41
1050,abortions,40
1051,plea,40
1052,central,40
1053,morning,40
1054,annual,40
1055,housing,40
1056,april,40
1057,illegally,40
1058,slammed,40
1059,chair,40
1060,syria,40
1061,promise,40
1062,lie,40
1063,putting,40
1064,visit,40
1065,communications,40
1066,constitutional,40
1067,side,40
1068,attempt,40
1069,clean,40
1070,seemingly,40
1071,necessary,40
1072,professor,40
1073,completely,40
1074,views,40
1075,requests,40
1076,expressed,40
1077,marijuana,39
1078,foundation,39
1079,hoyer,39
1080,stood,39
1081,soon,39
1082,memo,39
1083,total,39
1084,drew,39
