,token,count
1218,age,86
1219,lack,86
1220,tower,86
1221,typically,86
1222,challenging,86
1223,gets,86
1224,helping,86
1225,conducted,86
1226,harris,86
1227,fear,86
1228,document,86
1229,responsibility,86
1230,conduct,86
1231,sitting,86
1232,opening,86
1233,august,86
1234,cooperate,86
1235,remove,85
1236,booker,85
1237,coverage,85
1238,planning,85
1239,entire,85
1240,registration,85
1241,board,85
1242,council,85
1243,georgia,85
1244,regulations,85
1245,ads,84
1246,northam,84
1247,stormy,84
1248,addressed,84
1249,near,84
1250,television,84
1251,unless,84
1252,meant,84
1253,confirm,84
1254,moving,84
1255,conservatives,84
1256,estimated,84
1257,electoral,83
1258,lose,83
1259,today,83
1260,ready,83
1261,arguing,83
1262,introduced,83
1263,abrams,83
1264,friend,83
1265,sentence,83
1266,page,83
1267,low,83
1268,hurt,83
1269,admitted,83
1270,newman,82
1271,regarding,82
1272,expand,82
1273,protecting,82
1274,named,82
1275,resignation,82
1276,enter,82
1277,appointment,82
1278,annual,82
1279,dispute,82
1280,february,82
1281,facebook,82
1282,posted,82
1283,requests,82
1284,deadline,82
1285,supporting,81
1286,food,81
1287,chris,81
1288,resign,81
1289,administrator,81
1290,kemp,81
1291,trillion,81
1292,boost,81
1293,growth,81
1294,blamed,81
1295,giant,81
1296,industry,81
1297,overall,81
1298,accept,81
1299,forces,80
1300,bureau,80
1301,study,80
1302,rhetoric,80
1303,cover,80
1304,doug,80
1305,massive,80
1306,william,80
1307,immediate,80
1308,wife,80
1309,argument,80
1310,reopen,80
1311,discussions,80
1312,exchange,80
1313,practice,80
1314,gas,80
1315,el,79
1316,turnout,79
1317,highest,79
1318,deliver,79
1319,convicted,79
1320,colleagues,79
1321,floor,79
1322,player,79
1323,requires,79
1324,played,79
1325,politicians,79
1326,mexican,78
1327,blocked,78
1328,text,78
1329,los,78
1330,advocates,78
1331,programs,78
1332,old,78
1333,search,78
1334,attempts,78
1335,red,78
1336,count,78
1337,cause,78
1338,test,78
1339,pick,78
1340,hoping,78
1341,violated,78
1342,michigan,78
1343,receive,78
1344,billions,77
1345,entry,77
1346,threatened,77
1347,ambassador,77
1348,trust,77
1349,benefits,77
1350,spend,77
1351,convention,77
1352,challenges,77
1353,certainly,77
1354,designed,77
1355,version,77
1356,play,77
1357,affected,77
1358,crossing,76
1359,undocumented,76
1360,statewide,76
1361,scrutiny,76
1362,target,76
1363,waiting,76
1364,sometimes,76
1365,heavily,76
1366,repeated,76
1367,nine,76
1368,space,75
1369,average,75
1370,create,75
1371,backing,75
1372,common,75
1373,circuit,75
1374,confident,75
1375,officers,75
1376,unusual,75
1377,launched,75
1378,advantage,75
1379,racial,75
1380,killed,75
1381,oval,75
1382,impeachment,75
1383,jackson,75
1384,limited,75
1385,oil,75
1386,generally,75
1387,midterms,74
1388,manigault,74
1389,secret,74
1390,putting,74
1391,hit,74
1392,warren,74
1393,fewer,74
1394,mulvaney,74
1395,assaulted,74
1396,deeply,74
1397,widely,74
1398,custody,74
1399,although,74
1400,labor,74
1401,staffers,74
1402,shortly,74
1403,cnn,74
1404,aware,74
1405,recording,74
1406,represented,74
1407,affect,74
1408,attended,73
1409,outcome,73
1410,violent,73
1411,meetings,73
1412,nelson,73
1413,ice,72
1414,cia,72
1415,temporary,72
1416,follow,72
1417,broader,72
1418,moscow,72
1419,estate,72
1420,gain,72
1421,represent,72
1422,systems,72
1423,transgender,72
1424,matters,72
1425,grand,72
1426,steel,72
1427,perhaps,72
1428,threats,72
1429,associates,72
1430,date,72
1431,testified,72
1432,approve,72
1433,speaks,72
1434,medicaid,71
1435,mattis,71
1436,losing,71
1437,suburban,71
1438,understand,71
1439,nielsen,71
1440,lindsey,71
1441,progress,71
1442,contributions,71
1443,fresh,71
1444,entered,71
1445,reduce,71
1446,class,71
1447,son,71
1448,corporate,71
1449,advisers,71
1450,addition,71
1451,thinks,71
1452,dozens,71
1453,detained,70
1454,rest,70
1455,census,70
1456,friends,70
1457,buy,70
1458,father,70
1459,standing,70
1460,none,70
1461,exactly,70
1462,integrity,70
1463,signature,70
1464,setting,70
1465,sense,70
1466,field,70
1467,fiscal,70
1468,seized,70
1469,beginning,70
1470,packages,70
1471,departments,70
1472,shown,70
1473,clearance,69
1474,sex,69
1475,chinese,69
1476,update,69
1477,apply,69
1478,findings,69
1479,cooperation,69
1480,happen,69
1481,presidency,69
1482,commitment,69
1483,defeated,69
1484,rudy,69
1485,paying,69
1486,facts,68
1487,jared,68
1488,barriers,68
1489,veteran,68
1490,behavior,68
1491,death,68
1492,check,68
1493,temporarily,68
1494,detailed,68
1495,population,68
1496,street,68
1497,treated,68
1498,peace,68
1499,ending,68
1500,everyone,67
1501,weapons,67
1502,online,67
1503,responsible,67
1504,works,67
1505,defending,67
1506,failing,67
1507,unlikely,67
1508,throughout,67
1509,signaled,67
1510,associate,67
1511,declaring,67
1512,limits,67
1513,becoming,67
1514,ohio,67
1515,nato,67
1516,claiming,67
1517,talked,67
1518,whatever,67
1519,supporter,66
1520,pledged,66
1521,allows,66
1522,stood,66
1523,love,66
1524,puerto,66
1525,broad,66
1526,disclosure,66
1527,watchdog,66
1528,proposals,66
1529,gone,66
1530,keeping,66
1531,emerged,66
1532,website,66
1533,worried,66
1534,legislature,66
1535,discussing,66
1536,undermine,66
1537,discussion,66
1538,star,66
1539,prove,66
1540,historic,66
1541,continues,65
1542,technology,65
1543,noting,65
1544,accusing,65
1545,drop,65
1546,treasury,65
1547,nominated,65
1548,damaging,65
1549,protected,65
1550,nations,65
1551,larger,65
1552,drawn,65
1553,kennedy,65
1554,established,65
1555,goes,65
1556,indicted,65
1557,brief,65
1558,ad,64
1559,angeles,64
1560,legally,64
1561,lines,64
1562,businesses,64
1563,handful,64
1564,clearly,64
1565,checks,64
1566,maine,64
1567,daughter,64
1568,benefit,64
1569,learned,64
1570,greater,64
1571,stephen,64
1572,stands,64
1573,source,63
1574,infrastructure,63
1575,wave,63
1576,abuse,63
1577,fell,63
1578,experience,63
1579,particular,63
1580,built,63
1581,form,63
1582,fundraising,63
1583,raising,63
1584,endorsed,63
1585,extraordinary,63
1586,interested,63
1587,sources,63
1588,shot,63
1589,water,63
1590,iraq,63
1591,targeting,63
1592,childhood,63
1593,cross,63
1594,coal,63
1595,complained,63
1596,via,63
1597,mention,63
1598,demands,63
1599,represents,63
1600,huge,63
1601,seeing,63
1602,restrictions,63
1603,mississippi,63
1604,iowa,63
1605,reference,63
1606,committees,63
1607,receiving,63
1608,maryland,62
1609,looks,62
1610,powers,62
1611,departure,62
1612,radio,62
1613,wikileaks,62
1614,campaigns,62
1615,vulnerable,62
1616,language,62
1617,representing,62
1618,closer,62
1619,rose,62
1620,turning,62
1621,consulting,62
1622,organizations,62
1623,word,62
1624,counts,62
1625,strongly,62
1626,maintain,61
1627,concluded,61
1628,shooting,61
1629,returned,61
1630,graham,61
1631,frequent,61
1632,shulkin,61
1633,entering,61
1634,arrived,61
1635,jill,61
1636,appeal,61
1637,bernie,61
1638,elizabeth,61
1639,institute,61
1640,cooperating,61
1641,shared,61
1642,prior,61
1643,specifically,61
1644,cities,60
1645,bringing,60
1646,interfere,60
1647,praised,60
1648,feinstein,60
1649,writing,60
1650,amy,60
1651,bias,60
1652,witch,60
1653,rural,60
1654,advocacy,60
1655,tens,60
1656,analysis,60
1657,accepted,60
1658,paper,60
1659,ground,60
1660,declare,60
1661,hoped,60
1662,motivated,60
1663,frequently,59
1664,placed,59
1665,machines,59
1666,farm,59
1667,fix,59
1668,picked,59
1669,suggests,59
1670,produced,59
1671,seem,59
1672,tone,59
1673,drive,59
1674,personally,59
1675,reality,59
1676,assistance,59
1677,saudi,59
1678,pull,59
1679,upon,59
1680,gains,59
1681,drawing,59
1682,resolve,59
1683,starting,59
1684,opponents,59
1685,stepped,59
1686,argue,59
1687,jurors,59
1688,main,59
1689,jong,59
1690,identify,59
1691,easily,59
1692,barrier,58
1693,necessary,58
1694,determined,58
1695,lawmaker,58
1696,deep,58
1697,offering,58
1698,internet,58
1699,tells,58
1700,education,58
1701,fill,58
1702,alone,58
1703,supposed,58
1704,deferred,58
1705,basis,58
1706,lawsuits,58
1707,joining,58
1708,lee,58
1709,passage,58
1710,don,58
1711,porn,58
1712,congressman,58
1713,newly,58
1714,warning,57
1715,appropriate,57
1716,levels,57
1717,visited,57
1718,eligible,57
1719,pennsylvania,57
1720,eager,57
1721,numerous,57
1722,progressive,57
1723,positions,57
1724,personnel,57
1725,sued,57
1726,course,57
1727,protesters,57
1728,crowd,57
1729,younger,57
1730,peter,57
1731,raises,57
1732,spoken,57
1733,actress,57
1734,performance,57
1735,european,56
1736,connection,56
1737,provides,56
1738,attend,56
1739,natural,56
1740,hispanic,56
1741,demanded,56
1742,sending,56
1743,notes,56
1744,beat,56
1745,expanded,56
1746,native,56
1747,dianne,56
1748,relations,56
1749,swing,56
1750,oversees,56
1751,article,56
1752,roe,56
1753,passing,56
1754,judy,56
1755,viewed,56
1756,involvement,56
1757,carry,56
1758,aid,56
1759,dealings,56
1760,wray,55
1761,arrests,55
1762,deficit,55
1763,biden,55
1764,gubernatorial,55
1765,afternoon,55
1766,operations,55
1767,lie,55
1768,thank,55
1769,playing,55
1770,twice,55
1771,caravan,55
1772,acted,55
1773,association,55
1774,incident,55
1775,describe,55
1776,range,55
1777,agriculture,55
1778,aggressive,55
1779,ivanka,55
1780,gives,55
1781,picture,55
1782,upcoming,55
1783,challenged,55
1784,whole,55
1785,credit,55
1786,opened,55
1787,widespread,55
1788,lies,55
1789,facilities,54
1790,network,54
1791,walker,54
1792,religious,54
1793,reasons,54
1794,increases,54
